Author,and,if,it,much,in,the,then,shall,him,is,but,his,not,or,there,be,whereof,that,have,upon,than,out,of,wherefore,no,other,for,an,man,hath,he,more,therein,also,their,whose,yet,from,as,whom,all,wherein,without,unto,therefore,they,thou,shalt,with,whatsoever,which,them,to,lord,forth,one,was,let,into,himself,may,those,where,some,make,by,her,are,were,who,these,like,ye,been,every,god,when,said,what,now,could,my,among,thy,had,hast,neither,did,because,thee,lest,we,would,should,say,will,me,according,do,ever,thine,shouldest,how,our,moreover,whither,again,abundance,thyself,whoso,becometh,yea,thereof,thereby,thus,many,didst,seest,your,whosoever,cometh,till,thence,being,such,each,inasmuch,downward,whereto,therewith,once,outward,hence,howsoever,throughout,whereby,henceforth,thereon,must,thereupon,doeth,thereunto,became,wherewith,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,f_percentage_use,t_percentage_use,s_percentage_use,p_percentage_use,r_percentage_use,e_percentage_use,m_percentage_use,u_percentage_use,c_percentage_use,h_percentage_use,b_percentage_use,o_percentage_use,k_percentage_use,l_percentage_use,g_percentage_use,y_percentage_use,w_percentage_use,q_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,113.0,27.0,49.0,3.0,73.0,220.0,15.0,81.0,26.0,55.0,8.0,41.0,11.0,37.0,8.0,56.0,1.0,31.0,4.0,17.0,6.0,7.0,64.0,1.0,4.0,1.0,12.0,5.0,5.0,4.0,40.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,11.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08450899031811895,0.07551867219917012,0.036237897648686034,0.0731673582295989,0.028215767634854772,0.09308437067773168,0.06348547717842323,0.028215767634854772,0.05200553250345782,0.12337482710926695,0.014522821576763486,0.020055325034578148,0.01396957123098202,0.09585062240663901,0.019778699861687413,0.06265560165975104,0.00995850622406639,0.060719225449515905,0.01701244813278008,0.007883817427385892,0.01355463347164592,0.00013831258644536652,0.004979253112033195,0.0,0.0,0.0,1890,3.8253968253968256,32.55172413793103,1110.998893499309
Joshua,21.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11741682974559686,0.09197651663405088,0.060665362035225046,0.07632093933463796,0.01761252446183953,0.0821917808219178,0.043052837573385516,0.0136986301369863,0.046966731898238745,0.10176125244618395,0.03522504892367906,0.009784735812133072,0.015655577299412915,0.10176125244618395,0.0273972602739726,0.060665362035225046,0.0136986301369863,0.033268101761252444,0.009784735812133072,0.007827788649706457,0.0136986301369863,0.0,0.007827788649706457,0.005870841487279843,0.005870841487279843,0.0,118,4.330508474576271,19.666666666666668,69.99999999999997
Samuel,44.0,0.0,3.0,0.0,5.0,40.0,0.0,1.0,0.0,6.0,1.0,7.0,4.0,0.0,5.0,3.0,0.0,8.0,1.0,3.0,0.0,5.0,21.0,0.0,0.0,0.0,7.0,1.0,6.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10323997803404723,0.07413509060955518,0.06370126304228446,0.057111477210323995,0.026359143327841845,0.09060955518945635,0.06260296540362438,0.01043382756727073,0.051070840197693576,0.13509060955518945,0.021965952773201538,0.019769357495881382,0.011532125205930808,0.085667215815486,0.012630422844590884,0.06205381658429435,0.009335529928610654,0.034047226798462386,0.01757276221856123,0.019769357495881382,0.021965952773201538,0.001098297638660077,0.0054914881933003845,0.001098297638660077,0.0,0.0,475,3.833684210526316,31.666666666666668,274.99835255354185
Unknown,12.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,7.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10102489019033675,0.09224011713030747,0.048316251830161056,0.055636896046852125,0.005856515373352855,0.07759882869692533,0.07027818448023426,0.008784773060029283,0.03074670571010249,0.10688140556368961,0.048316251830161056,0.024890190336749635,0.010248901903367497,0.07759882869692533,0.02635431918008785,0.0746705710102489,0.01171303074670571,0.040995607613469986,0.02342606149341142,0.020497803806734993,0.02342606149341142,0.0,0.01171303074670571,0.0,0.0,0.0,175,3.902857142857143,28.666666666666668,101.99121522693991
Unknown,19.0,1.0,2.0,0.0,5.0,10.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,0.0,1.0,3.0,0.0,6.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08508403361344538,0.06722689075630252,0.051470588235294115,0.08088235294117647,0.022058823529411766,0.10294117647058823,0.0546218487394958,0.007352941176470588,0.032563025210084036,0.10399159663865547,0.03676470588235294,0.025210084033613446,0.014705882352941176,0.06512605042016807,0.01680672268907563,0.07563025210084033,0.01680672268907563,0.0546218487394958,0.01680672268907563,0.02100840336134454,0.023109243697478993,0.0,0.01680672268907563,0.0031512605042016808,0.0,0.0,251,3.7928286852589643,31.125,145.99474789915962
Unknown,21.0,0.0,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,10.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09914204003813155,0.06863679694947569,0.05147759771210677,0.05052430886558627,0.029551954242135366,0.10200190657769304,0.055290753098188754,0.004766444232602479,0.04194470924690181,0.11820781696854146,0.019065776930409915,0.030505243088655862,0.009532888465204958,0.10200190657769304,0.012392755004766444,0.08007626310772165,0.01334604385128694,0.03336510962821735,0.02001906577693041,0.011439466158245948,0.02001906577693041,0.0,0.004766444232602479,0.01334604385128694,0.005719733079122974,0.0,255,4.113725490196078,36.285714285714285,135.99714013346048
Ezra,47.0,5.0,0.0,0.0,9.0,64.0,4.0,0.0,1.0,6.0,1.0,2.0,5.0,1.0,2.0,4.0,0.0,7.0,8.0,2.0,0.0,2.0,22.0,0.0,1.0,0.0,10.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,1.0,8.0,2.0,0.0,9.0,0.0,0.0,7.0,1.0,11.0,10.0,1.0,7.0,0.0,12.0,6.0,8.0,13.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,19.0,4.0,2.0,0.0,0.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809267965077233,0.06850235057085292,0.04801880456682337,0.05910006715916723,0.029885829415715246,0.10208193418401612,0.04701141705842848,0.017797179314976493,0.061114842175957015,0.1343183344526528,0.02182672934855608,0.021490933512424447,0.0241773002014775,0.08797850906648758,0.009066487575554063,0.0715245130960376,0.004365345869711216,0.03492276695768973,0.0157824042981867,0.024513096037609133,0.019140362659503023,0.0,0.014103425117528543,0.000335795836131632,0.0,0.000335795836131632,699,4.260371959942775,34.85,403.9983210208194
Nehemiah,14.0,0.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08854961832061069,0.07633587786259542,0.0549618320610687,0.03816793893129771,0.035114503816793895,0.11297709923664122,0.061068702290076333,0.010687022900763359,0.04580152671755725,0.1267175572519084,0.021374045801526718,0.022900763358778626,0.0183206106870229,0.08396946564885496,0.012213740458015267,0.0900763358778626,0.004580152671755725,0.024427480916030534,0.01984732824427481,0.024427480916030534,0.016793893129770993,0.0,0.007633587786259542,0.0015267175572519084,0.0,0.0,166,3.9457831325301207,41.5,95.99847328244273
Mordecai,1.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07100591715976332,0.0650887573964497,0.029585798816568046,0.08284023668639054,0.023668639053254437,0.15384615384615385,0.07100591715976332,0.011834319526627219,0.04142011834319527,0.13609467455621302,0.005917159763313609,0.01775147928994083,0.005917159763313609,0.07692307692307693,0.023668639053254437,0.05325443786982249,0.011834319526627219,0.03550295857988166,0.023668639053254437,0.023668639053254437,0.011834319526627219,0.0,0.011834319526627219,0.0,0.0,0.0,43,3.9302325581395348,42.0,26.98816568047338
Unknown,7.0,0.0,1.0,0.0,2.0,13.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06935483870967742,0.06612903225806452,0.054838709677419356,0.05,0.025806451612903226,0.10806451612903226,0.04838709677419355,0.0016129032258064516,0.04516129032258064,0.11774193548387096,0.020967741935483872,0.03870967741935484,0.037096774193548385,0.10483870967741936,0.008064516129032258,0.09032258064516129,0.012903225806451613,0.020967741935483872,0.024193548387096774,0.008064516129032258,0.03387096774193549,0.0,0.00967741935483871,0.0016129032258064516,0.0,0.0,153,4.052287581699346,15.3,88.99838709677421
David and others,17.0,1.0,3.0,0.0,9.0,31.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,3.0,5.0,4.0,0.0,3.0,21.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,5.0,1.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07215332581736189,0.06595264937993235,0.05129650507328072,0.05580608793686584,0.02480270574971815,0.0992108229988726,0.05355129650507328,0.019729425028184894,0.046223224351747465,0.12514092446448705,0.024239007891770012,0.037767756482525366,0.014656144306651634,0.08793686583990981,0.012401352874859075,0.08117249154453213,0.007328072153325817,0.04171364148816235,0.020856820744081173,0.018038331454340473,0.023111612175873732,0.0005636978579481398,0.010710259301014656,0.003945885005636978,0.0,0.0,442,4.013574660633484,18.416666666666668,236.9983089064262
Solomon and others,2.0,0.0,3.0,1.0,2.0,4.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07993730407523511,0.05956112852664577,0.025078369905956112,0.05642633228840126,0.023510971786833857,0.09247648902821316,0.061128526645768025,0.023510971786833857,0.0768025078369906,0.14576802507836992,0.025078369905956112,0.014106583072100314,0.023510971786833857,0.08463949843260188,0.012539184952978056,0.07523510971786834,0.006269592476489028,0.05172413793103448,0.012539184952978056,0.009404388714733543,0.0109717868338558,0.0,0.0109717868338558,0.0,0.0,0.001567398119122257,152,4.197368421052632,16.77777777777778,63.98275862068965
Solomon,7.0,0.0,4.0,0.0,2.0,13.0,1.0,2.0,2.0,5.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.07308377896613191,0.040998217468805706,0.06417112299465241,0.0196078431372549,0.1354723707664884,0.04634581105169341,0.0,0.044563279857397504,0.12477718360071301,0.016042780748663103,0.0213903743315508,0.0213903743315508,0.09803921568627451,0.012477718360071301,0.08377896613190731,0.016042780748663103,0.0427807486631016,0.016042780748663103,0.008912655971479501,0.016042780748663103,0.0,0.0053475935828877,0.0,0.0,0.0,155,3.6193548387096772,51.333333333333336,98.9982174688057
Isaiah,5.0,0.0,0.0,0.0,3.0,24.0,1.0,17.0,1.0,8.0,1.0,6.0,6.0,0.0,1.0,9.0,0.0,10.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07619738751814223,0.055152394775036286,0.031204644412191583,0.059506531204644414,0.023222060957910014,0.0899854862119013,0.07402031930333818,0.020319303338171262,0.06313497822931785,0.14150943396226415,0.013788098693759071,0.026850507982583455,0.015239477503628448,0.08853410740203194,0.018142235123367198,0.06458635703918723,0.009433962264150943,0.061683599419448475,0.02104499274310595,0.015965166908563134,0.015965166908563134,0.000725689404934688,0.010159651669085631,0.001451378809869376,0.001451378809869376,0.0,318,4.333333333333333,26.5,173.99927431059504
