Author,now,the,of,who,in,was,and,it,to,that,all,lord,out,from,is,be,much,unto,for,them,their,said,there,shall,no,thereof,but,every,man,when,thou,hast,him,then,he,an,not,one,shalt,forth,ought,neither,ye,with,thee,will,let,his,as,among,thus,did,they,by,me,whatsoever,which,into,thy,because,upon,thine,may,hath,therefore,cometh,if,what,say,would,being,my,had,god,lest,hence,are,have,we,were,wherefore,been,than,should,whom,again,more,ever,your,these,other,how,make,whence,our,became,do,those,wherein,therein,where,thence,also,many,wherewith,moreover,her,yet,like,yea,till,thyself,abundance,himself,doeth,could,seest,or,whose,notwithstanding,such,without,must,whosoever,some,verily,whereunto,didst,each,inasmuch,downward,whereto,according,therewith,whereof,once,thereby,shouldest,outward,howsoever,throughout,becometh,henceforth,whereby,thereon,thereupon,thereunto,oft,oftentimes,whither,underneath,whensoever,wherewithal,seemeth,hereof,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,n_percentage_use,o_percentage_use,w_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,j_percentage_use,u_percentage_use,r_percentage_use,i_percentage_use,g_percentage_use,f_percentage_use,c_percentage_use,l_percentage_use,d_percentage_use,a_percentage_use,y_percentage_use,p_percentage_use,m_percentage_use,v_percentage_use,b_percentage_use,k_percentage_use,q_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,1.0,164.0,86.0,1.0,26.0,5.0,113.0,25.0,30.0,33.0,19.0,32.0,18.0,11.0,10.0,19.0,1.0,22.0,18.0,18.0,7.0,7.0,5.0,33.0,6.0,5.0,6.0,4.0,4.0,11.0,17.0,4.0,6.0,3.0,11.0,3.0,8.0,5.0,10.0,4.0,1.0,2.0,9.0,11.0,12.0,8.0,6.0,17.0,3.0,3.0,2.0,6.0,12.0,13.0,5.0,1.0,6.0,3.0,8.0,2.0,12.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06906199381534384,0.07613017228685025,0.015903401560889412,0.10469739360918863,0.09129730525695774,0.12604918274186422,0.05551465174495656,0.0008835223089383007,0.023707848623177735,0.05492563687233103,0.05183330879104697,0.017964953615078782,0.025916654395523486,0.014578118097481961,0.046237667501104404,0.04947724930054484,0.08643793255779708,0.020615520541893684,0.01840671476954793,0.019879251951111766,0.007068178471506406,0.015608894124576646,0.00427035782653512,0.00014725371815638345,0.00044176115446915035,0.0002945074363127669,1694,4.0088547815820545,29.120689655172413,1010.9973494330734
Joshua,2.0,10.0,9.0,1.0,1.0,1.0,13.0,2.0,6.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06424581005586592,0.1005586592178771,0.027932960893854747,0.09217877094972067,0.07402234636871509,0.11312849162011174,0.05307262569832402,0.00558659217877095,0.0446927374301676,0.05726256983240224,0.0446927374301676,0.01675977653631285,0.02653631284916201,0.012569832402234637,0.025139664804469275,0.04748603351955307,0.0935754189944134,0.0335195530726257,0.00558659217877095,0.02653631284916201,0.012569832402234637,0.0111731843575419,0.0111731843575419,0.0,0.0,0.0,189,3.7883597883597884,31.5,124.00000000000001
Samuel,1.0,33.0,20.0,2.0,12.0,5.0,42.0,3.0,14.0,7.0,1.0,2.0,3.0,5.0,4.0,3.0,0.0,13.0,3.0,8.0,5.0,9.0,5.0,2.0,4.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,11.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08076514346439957,0.07066950053134963,0.026036131774707757,0.10467587672688629,0.08926673751328375,0.12911795961742828,0.05100956429330499,0.0,0.024442082890541977,0.044633368756641874,0.061636556854410204,0.01487778958554729,0.020191285866099893,0.01700318809776833,0.031880977683315624,0.048884165781083955,0.09404888416578108,0.022316684378320937,0.01381509032943677,0.03028692879914984,0.008501594048884165,0.007438894792773645,0.0037194473963868225,0.0005313496280552603,0.0005313496280552603,0.002656748140276302,492,3.8252032520325203,32.8,307.9989373007439
Unknown,0.0,7.0,10.0,0.0,1.0,0.0,13.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05597579425113464,0.0680786686838124,0.015128593040847202,0.0832072617246596,0.08018154311649017,0.10287443267776097,0.07261724659606657,0.0045385779122541605,0.02118003025718608,0.05143721633888049,0.0680786686838124,0.0226928895612708,0.0226928895612708,0.015128593040847202,0.028744326777609682,0.09379727685325265,0.10136157337367625,0.0030257186081694403,0.0030257186081694403,0.024205748865355523,0.025718608169440244,0.01664145234493192,0.009077155824508321,0.0,0.0015128593040847202,0.007564296520423601,147,4.496598639455782,24.5,75.99848714069594
Unknown,0.0,34.0,12.0,0.0,2.0,1.0,16.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07282184655396619,0.09622886866059818,0.036410923276983094,0.10013003901170352,0.08062418725617686,0.13654096228868662,0.06892067620286085,0.0013003901170351106,0.016905071521456438,0.054616384915474644,0.032509752925877766,0.014304291287386216,0.0247074122236671,0.016905071521456438,0.04161248374512354,0.044213263979193757,0.07802340702210664,0.0039011703511053317,0.01950585175552666,0.018205461638491547,0.013003901170351105,0.015604681404421327,0.009102730819245773,0.0,0.002600780234070221,0.0013003901170351106,187,4.112299465240642,23.375,102.0
Unknown,0.0,24.0,13.0,0.0,2.0,0.0,21.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07727797001153403,0.08765859284890427,0.010380622837370242,0.09803921568627451,0.104959630911188,0.12226066897347174,0.0530565167243368,0.00461361014994233,0.02422145328719723,0.04498269896193772,0.058823529411764705,0.012687427912341407,0.02306805074971165,0.010380622837370242,0.03575547866205306,0.04844290657439446,0.09919261822376009,0.00922722029988466,0.0196078431372549,0.02306805074971165,0.012687427912341407,0.011534025374855825,0.0057670126874279125,0.0,0.0011534025374855825,0.0011534025374855825,229,3.7860262008733625,32.714285714285715,132.99999999999997
Ezra,2.0,46.0,33.0,0.0,5.0,3.0,47.0,1.0,16.0,5.0,7.0,3.0,1.0,9.0,0.0,1.0,1.0,5.0,3.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,9.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07364501448076127,0.07529995862639637,0.016549441456350848,0.08812577575506826,0.08440215142738933,0.11584609019445594,0.0674389739346297,0.0028961522548613984,0.022755482002482418,0.059164253206454284,0.05585436491518411,0.01365328920148945,0.024824162184526273,0.016549441456350848,0.0244104261481175,0.0674389739346297,0.0964004964832437,0.006619776582540339,0.006619776582540339,0.030202730657840297,0.02027306578402979,0.01365328920148945,0.007860984691766652,0.0004137360364087712,0.0004137360364087712,0.005378568473314025,544,4.443014705882353,27.05,272.9966901117088
Nehemiah,0.0,13.0,10.0,1.0,0.0,1.0,8.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317073170731707,0.06445993031358885,0.01916376306620209,0.09059233449477352,0.08885017421602788,0.13066202090592335,0.0313588850174216,0.005226480836236934,0.029616724738675958,0.05400696864111498,0.05749128919860627,0.020905923344947737,0.02264808362369338,0.024390243902439025,0.02264808362369338,0.041811846689895474,0.10627177700348432,0.02264808362369338,0.01916376306620209,0.029616724738675958,0.008710801393728223,0.024390243902439025,0.003484320557491289,0.0,0.0,0.006968641114982578,129,4.449612403100775,32.25,64.99825783972129
Mordecai,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04081632653061224,0.12244897959183673,0.05102040816326531,0.061224489795918366,0.08163265306122448,0.15306122448979592,0.030612244897959183,0.0,0.030612244897959183,0.061224489795918366,0.02040816326530612,0.0,0.030612244897959183,0.030612244897959183,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.02040816326530612,0.0,0.030612244897959183,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,24,4.083333333333333,23.0,13.979591836734699
Unknown,1.0,11.0,5.0,0.0,2.0,0.0,11.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06344827586206897,0.06896551724137931,0.028965517241379312,0.11310344827586206,0.07586206896551724,0.12137931034482759,0.05655172413793103,0.0,0.037241379310344824,0.04,0.06344827586206897,0.016551724137931035,0.016551724137931035,0.013793103448275862,0.0496551724137931,0.041379310344827586,0.08689655172413793,0.019310344827586208,0.019310344827586208,0.034482758620689655,0.009655172413793104,0.013793103448275862,0.006896551724137931,0.001379310344827586,0.0,0.0,187,3.877005347593583,18.7,100.99862068965517
David and others,0.0,25.0,22.0,1.0,9.0,1.0,17.0,3.0,9.0,8.0,1.0,2.0,3.0,1.0,10.0,2.0,0.0,4.0,7.0,6.0,0.0,3.0,5.0,8.0,4.0,0.0,2.0,1.0,2.0,3.0,9.0,2.0,3.0,2.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,5.0,1.0,0.0,0.0,2.0,7.0,2.0,3.0,0.0,0.0,0.0,9.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05692514567458539,0.08606006275212909,0.014791573285522188,0.09143881667413715,0.08023307933662036,0.12819363514119228,0.05871806364858808,0.0017929179740026895,0.03003137606454505,0.047512326311071267,0.06633796503809951,0.025549081129538322,0.02734199910354101,0.0210667861945316,0.045271178843567905,0.047512326311071267,0.07395786642761093,0.017929179740026894,0.01523980277902286,0.026445540116539667,0.012102196324518153,0.012550425818018825,0.008068130883012102,0.0008964589870013447,0.0,0.0017929179740026895,538,4.146840148698884,22.416666666666668,293.99775885253257
Solomon and others,0.0,15.0,7.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047407407407407405,0.056296296296296296,0.023703703703703703,0.10518518518518519,0.09925925925925926,0.13037037037037036,0.08296296296296296,0.0044444444444444444,0.035555555555555556,0.05333333333333334,0.07407407407407407,0.023703703703703703,0.017777777777777778,0.01925925925925926,0.044444444444444446,0.037037037037037035,0.047407407407407405,0.011851851851851851,0.016296296296296295,0.01925925925925926,0.007407407407407408,0.02074074074074074,0.008888888888888889,0.0,0.0014814814814814814,0.0,145,4.655172413793103,16.11111111111111,75.98814814814816
Solomon,0.0,1.0,2.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05802047781569966,0.06825938566552901,0.027303754266211604,0.07508532423208192,0.1296928327645051,0.08191126279863481,0.08532423208191127,0.0,0.013651877133105802,0.051194539249146756,0.06143344709897611,0.010238907849829351,0.017064846416382253,0.023890784982935155,0.051194539249146756,0.03754266211604096,0.1296928327645051,0.013651877133105802,0.006825938566552901,0.023890784982935155,0.0034129692832764505,0.010238907849829351,0.013651877133105802,0.0,0.0,0.0,80,3.6625,26.333333333333332,49.99317406143344
Isaiah,0.0,26.0,19.0,0.0,5.0,1.0,14.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06974637681159421,0.07155797101449275,0.026268115942028984,0.09420289855072464,0.09239130434782608,0.12228260869565218,0.04076086956521739,0.0,0.022644927536231884,0.06068840579710145,0.057065217391304345,0.017210144927536232,0.03351449275362319,0.024456521739130436,0.03804347826086957,0.049818840579710144,0.09420289855072464,0.017210144927536232,0.009963768115942028,0.03351449275362319,0.005434782608695652,0.012681159420289856,0.002717391304347826,0.0018115942028985507,0.0,0.0,270,4.088888888888889,22.5,146.99818840579707
